Tag,Stunde,Time,RH,AIRTEMP20,AIRTEMP,GROUNDTEMP05,GROUNDTEMP,WINDSPEED,RAD,PRECIPITATION
1.6928352e+18,0.0,1.6928631e+18,92.75,16.6,17.0,21.450000000000003,20.25,0.875,112.07499999999999,0.0
1.6928352e+18,0.0,1.692864e+18,91.2,17.1,17.5,21.6,20.2,1.0,121.6,0.0
1.6928352e+18,0.0,1.6928649e+18,87.4,18.025000000000002,18.375,21.825000000000003,20.2,1.075,175.775,0.0
1.6928352e+18,0.0,1.6928658e+18,83.6,18.950000000000003,19.25,22.05,20.2,1.15,229.95,0.0
1.6928352e+18,0.0,1.6928667e+18,79.8,19.875,20.125,22.275,20.2,1.225,284.125,0.0
1.6928352e+18,0.0,1.6928676e+18,76.0,20.8,21.0,22.5,20.2,1.3,338.3,0.0
1.6928352e+18,0.0,1.6928685e+18,72.7,21.625,21.7,22.9,20.2,1.35,382.90000000000003,0.0
1.6928352e+18,0.0,1.6928694e+18,69.4,22.450000000000003,22.4,23.3,20.2,1.4,427.5,0.0
1.6928352e+18,0.0,1.6928703e+18,66.1,23.275000000000002,23.1,23.700000000000003,20.2,1.45,472.1,0.0
1.6928352e+18,0.0,1.6928712e+18,62.8,24.1,23.8,24.1,20.2,1.5,516.7,0.0
1.6928352e+18,0.0,1.6928721e+18,60.675,24.725,24.375,24.575000000000003,20.225,1.575,539.325,0.0
1.6928352e+18,0.0,1.692873e+18,58.55,25.35,24.950000000000003,25.05,20.25,1.65,561.95,0.0
